name,ingredients,instructions
Pasta Alfredo,"fettuccine, butter, heavy cream, parmesan, garlic, black pepper","1. Cook fettuccine according to package directions.
2. Heat 4 tbsp butter in pan. Add minced garlic.
3. Add 1 cup heavy cream and simmer for 2 minutes.
4. Gradually add 1 cup grated parmesan, stirring constantly.
5. Add cooked pasta and toss to coat.
6. Season with black pepper and serve immediately."
Tacos,"corn tortillas, ground beef, lettuce, tomato, cheese, sour cream, salsa","1. Brown 300g ground beef with taco seasoning.
2. Warm corn tortillas in dry pan.
3. Fill tortillas with beef, shredded lettuce, and diced tomato.
4. Top with cheese, sour cream, and salsa.
5. Fold and serve with lime wedges."
Nachos,"tortilla chips, cheese, jalapeños, ground beef, sour cream, guacamole","1. Arrange tortilla chips on baking sheet.
2. Brown 200g ground beef with taco seasoning.
3. Sprinkle cheese and jalapeños over chips.
4. Bake at 180°C until cheese melts.
5. Top with beef, sour cream, and guacamole.
6. Serve immediately while hot."
Fish and Chips,"white fish, potatoes, beer batter, salt, oil","1. Cut 500g white fish into strips. Season with salt.
2. Cut potatoes into thick chips and soak in water.
3. Make batter with flour, beer, and salt.
4. Pat fish dry and coat in batter.
5. Deep fry fish until golden and crispy.
6. Fry chips until golden. Season with salt."
Chicken Wings,"chicken wings, soy sauce, honey, garlic, ginger, sesame oil","1. Cut 500g chicken wings at joints.
2. Mix soy sauce, honey, garlic, ginger, and sesame oil.
3. Marinate wings for 1 hour.
4. Bake at 200°C for 25 minutes, turning once.
5. Brush with remaining marinade in last 5 minutes.
6. Garnish with sesame seeds."
Steak,"beef steak, salt, black pepper, olive oil, butter, garlic, rosemary","1. Season 300g steak with salt and pepper. Let come to room temperature.
2. Heat olive oil in cast iron pan until smoking.
3. Add steak and sear for 3-4 minutes per side.
4. Add butter, garlic, and rosemary. Baste steak.
5. Cook to desired doneness. Rest for 5 minutes.
6. Slice against grain and serve."
Fried Chicken,"chicken pieces, flour, buttermilk, paprika, garlic powder, oil","1. Cut 1 whole chicken into 8 pieces.
2. Soak in buttermilk with salt and pepper for 2 hours.
3. Mix flour with paprika, garlic powder, and salt.
4. Dredge chicken in seasoned flour.
5. Deep fry at 175°C until golden and cooked through.
6. Drain on paper towels and serve hot."
Mac and Cheese,"macaroni, cheddar cheese, butter, milk, flour, salt, pepper","1. Cook macaroni according to package directions.
2. Make roux with 4 tbsp butter and 4 tbsp flour.
3. Gradually add 2 cups milk, whisking constantly.
4. Add 2 cups grated cheddar cheese.
5. Stir until cheese melts and sauce thickens.
6. Mix with pasta and season with salt and pepper."
Pizza Margherita,"pizza dough, tomato sauce, mozzarella, basil, olive oil, salt","1. Roll out pizza dough on floured surface.
2. Spread tomato sauce evenly, leaving border.
3. Tear mozzarella and distribute over sauce.
4. Bake at 250°C for 10-12 minutes until crust is golden.
5. Tear fresh basil leaves over hot pizza.
6. Drizzle with olive oil and sea salt."
Lasagna,"lasagna sheets, ground beef, ricotta, mozzarella, tomato sauce, basil","1. Brown 300g ground beef with garlic and onion.
2. Add tomato sauce and simmer for 20 minutes.
3. Mix ricotta with egg and parmesan.
4. Layer sauce, sheets, ricotta, and mozzarella in baking dish.
5. Repeat layers, ending with cheese on top.
6. Bake at 180°C for 45 minutes."
Spaghetti Bolognese,"spaghetti, ground beef, tomatoes, onion, garlic, basil, parmesan","1. Cook spaghetti according to package directions.
2. Brown 300g ground beef with chopped onion and garlic.
3. Add canned tomatoes and simmer for 30 minutes.
4. Season with salt, pepper, and fresh basil.
5. Drain pasta and toss with sauce.
6. Serve with grated parmesan cheese."
Chicken Teriyaki,"chicken thighs, soy sauce, mirin, sugar, ginger, garlic, sesame seeds","1. Cut 500g chicken thighs into bite-sized pieces.
2. Mix soy sauce, mirin, sugar, ginger, and garlic.
3. Marinate chicken for 30 minutes.
4. Cook chicken in pan until golden and caramelized.
5. Add sauce and cook until thickened.
6. Garnish with sesame seeds and sliced green onions."
Beef Bulgogi,"beef, soy sauce, sugar, sesame oil, garlic, pear, green onions","1. Freeze 500g beef for 30 minutes then slice paper-thin.
2. Grate 1/2 Asian pear and mix with soy sauce, sugar, sesame oil, garlic.
3. Marinate beef for 1 hour.
4. Cook in hot oiled pan until caramelized.
5. Add green onions and cook for 1 minute.
6. Serve with steamed rice."
Japchae,"sweet potato starch noodles, beef, spinach, carrots, soy sauce, sesame oil","1. Soak sweet potato noodles in warm water for 10 minutes.
2. Stir fry beef with soy sauce. Set aside.
3. Blanch spinach and stir fry carrots with sesame oil.
4. Cook noodles and drain.
5. Mix noodles with vegetables, beef, and seasonings.
6. Garnish with sesame seeds."
Fried Rice,"rice, eggs, vegetables, soy sauce, sesame oil, green onions","1. Heat oil in wok. Scramble 2 eggs and set aside.
2. Add diced vegetables and stir fry for 2 minutes.
3. Add 3 cups cooked rice and break up clumps.
4. Add soy sauce and sesame oil. Mix well.
5. Add scrambled eggs and green onions.
6. Stir fry for 1 minute and serve."
Chicken Katsu,"chicken breast, panko breadcrumbs, flour, egg, tonkatsu sauce, oil","1. Pound 2 chicken breasts to 1/2 inch thickness.
2. Season with salt and pepper.
3. Dredge in flour, dip in egg, coat with panko.
4. Deep fry at 170°C until golden and cooked through.
5. Slice and serve with tonkatsu sauce."
Beef Rendang,"beef, coconut milk, rendang paste, lemongrass, kaffir lime leaves","1. Cut 500g beef into chunks.
2. Heat 2 cups coconut milk until it separates.
3. Add rendang paste, lemongrass, and lime leaves.
4. Add beef and simmer for 2 hours until tender.
5. Continue cooking until sauce thickens and darkens.
6. Serve with steamed rice."
Nasi Goreng,"rice, shrimp, eggs, sweet soy sauce, kecap manis, chili paste","1. Heat oil in wok. Scramble 2 eggs and set aside.
2. Add chopped shrimp and cook until pink.
3. Add 3 cups cooked rice and break up clumps.
4. Add sweet soy sauce and chili paste. Mix well.
5. Add scrambled eggs and cook for 1 minute.
6. Garnish with fried shallots and cucumber."
Chicken Satay,"chicken, coconut milk, turmeric, coriander, cumin, peanut sauce","1. Cut 500g chicken into thin strips.
2. Mix with coconut milk, turmeric, coriander, and cumin. Marinate 1 hour.
3. Thread chicken onto skewers.
4. Grill until cooked through, basting with marinade.
5. For peanut sauce: blend peanuts, coconut milk, and spices.
6. Simmer sauce for 5 minutes. Serve with satay."
Laksa,"rice noodles, coconut milk, laksa paste, shrimp, tofu, bean sprouts","1. Cook rice noodles according to package directions.
2. Heat coconut milk with laksa paste until fragrant.
3. Add 300g shrimp and 200g tofu cubes. Cook until done.
4. Add bean sprouts and cook for 1 minute.
5. Divide noodles among bowls. Pour soup over.
6. Garnish with hard-boiled egg and cilantro."
Beef Shawarma,"beef, shawarma spices, pita bread, garlic sauce, pickles, tomatoes","1. Slice 500g beef against grain into thin strips.
2. Marinate with shawarma spices for 1 hour.
3. Cook in hot pan until browned and cooked through.
4. Warm pita bread and slice open.
5. Fill with beef, tomatoes, and pickles.
6. Drizzle with garlic sauce and serve."
Falafel,"chickpeas, parsley, cilantro, garlic, cumin, tahini sauce","1. Soak 1 cup chickpeas overnight. Drain and rinse.
2. Blend chickpeas with parsley, cilantro, garlic, and cumin.
3. Form into small balls and deep fry until golden.
4. For tahini sauce: blend tahini, lemon juice, and garlic.
5. Thin with water to desired consistency.
6. Serve falafel in pita with tahini sauce."
